dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,-0.45224348,9.265608,1.867598,-0.012301666,0.963617,0.18893735,1.2063559,0.9820419685397905,78.883804
0.019,-0.70169526,9.029915,1.378864,-0.039202664,0.94413763,0.17374833,1.2063559,0.9607919652839831,79.31647
0.02,-0.36729828,9.6580305,1.4566308,-0.051707666,0.9501564,0.15986066,1.164519,0.9648970301105657,79.97213
0.019,0.07836494,9.725628,1.7228323,-0.033672,0.9657927,0.15494,1.164519,0.978721500163217,80.6768
0.019,-0.29491538,9.682557,1.6253247,-0.019845331,0.9879764,0.16331732,1.164519,1.001580599441912,80.54583
0.02,-0.7728817,9.921839,1.2795619,-0.03363133,0.9969433,0.15729867,1.164519,1.0098365565989944,80.83452
0.02,-0.49232325,10.652846,0.6149554,-0.05302933,1.02846,0.11964133,1.164519,1.0367527098145075,82.74837
0.019,-0.11365908,9.751948,1.1862419,-0.046868328,1.0308186,0.104716666,1.164519,1.037183285851645,83.64934
0.02,0.26799613,8.927023,2.2235305,-0.011488333,0.99700433,0.13680266,1.164519,1.0064117365736513,82.15989
0.019,0.64606214,8.902496,2.970091,0.027205998,0.937509,0.216855,1.164519,0.9626470718408346,76.87743
0.021,1.1778669,9.15135,3.6789649,0.07110567,0.9170944,0.301584,1.164519,0.9680243199230051,71.331764
0.018,1.7623138,9.048459,4.505087,0.12189833,0.92122203,0.37913534,1.164519,1.0036198682934454,66.62091
0.019,0.7435696,9.130413,4.322634,0.12521267,0.9289691,0.425109,1.164519,1.0292615969237482,64.4965
0.02,-0.02632105,9.396614,3.4169507,0.08428166,0.9373056,0.41620302,1.164519,1.0290141867199503,65.62689
0.02,-0.32303107,9.76152,2.664408,0.013399664,0.961543,0.35363734,1.164519,1.0245993869878103,69.794136
0.02,0.13878371,9.434301,3.077768,-0.0071573337,0.9718723,0.31132367,1.164519,1.0205437186932527,72.2336
0.018,0.29850462,9.386445,3.333202,0.0038836661,0.9715266,0.308477,1.164519,1.0193317075276278,72.38315
0.02,-0.19680966,9.221938,2.818147,0.008173999,0.95318604,0.31370267,1.164519,1.0035137262411231,71.777374
0.019,-0.5706882,9.52822,2.4382863,-0.015941335,0.9563783,0.29196635,1.164519,1.0000789426997518,72.99964
0.02,-0.66101724,9.640682,2.2989044,-0.048556,0.96502,0.25681,1.164519,0.9997863113226415,74.84593
0.02,0.11066805,9.649655,2.6285157,-0.03810467,0.9795583,0.25036433,1.164519,1.0117651441052031,75.50461
0.019,0.40737805,9.589835,3.0951161,-0.0048596673,0.9816527,0.27269033,1.164519,1.0188354178295975,74.47308
0.02,0.7746763,9.250054,3.0155547,0.04394033,0.96837497,0.29704967,1.232891,1.0138635696528666,72.771965
0.019,0.53180486,9.391829,2.3898315,0.058255,0.95961136,0.28893664,1.232891,1.003858548091656,72.92535
0.02,0.14117654,9.304491,1.8598214,0.049206663,0.94991237,0.24694832,1.232891,0.9827198359910164,75.153496
0.019,-0.21655045,9.221938,1.9567307,0.015514334,0.94895667,0.21095832,1.232891,0.9722462982633732,77.43389
0.021,-0.096909314,8.95155,2.1535404,-0.005856,0.93399125,0.20292668,1.232891,0.9557997655127671,77.73703
0.018,0.1381855,9.092128,1.9154545,-0.005957667,0.926773,0.20481767,1.232891,0.9491543530652199,77.532814
0.02,-0.21535404,9.229715,2.2067807,-0.005917,0.9270373,0.21331699,1.232891,0.9512819261802185,77.036674
0.019,-0.56530434,9.652048,2.7230322,-0.021838,0.9508477,0.23267432,1.232891,0.979145319185864,76.19172
0.021,-0.88354975,9.847063,2.9760733,-0.05656733,0.9765083,0.26872534,1.232891,1.0143873355972222,74.29293
0.018,-1.0319048,9.789636,2.9820552,-0.08432233,0.9955403,0.29507732,1.232891,1.04176840683121,72.867386
0.02,-0.27218357,10.052846,2.457429,-0.074359,1.0091637,0.28604934,1.232891,1.0515535803056741,73.67618
0.019,0.07298109,9.930812,1.7940187,-0.041846003,1.0120103,0.24587065,1.232891,1.0422899713864981,76.15558
0.021,-0.29012975,9.713065,1.7808583,-0.016632667,1.0094076,0.20504133,1.232891,1.0301564817809379,78.48103
0.018,-0.4869394,9.810573,2.175674,-0.023932332,1.0011727,0.19546433,1.232891,1.0203557020545282,78.87238
0.019,0.5593223,9.647861,1.9154545,-0.0074013323,0.991555,0.199592,1.232891,1.0114707179943654,78.61132
0.02,0.20877378,9.664611,1.457229,0.009556667,0.989908,0.18859166,1.232891,1.0077578838949248,79.2001
0.021,-1.0654043,9.469596,1.5044873,-0.010105667,0.97831804,0.16577767,1.232891,0.9923157454211141,80.365
0.018,-0.8566305,9.402596,1.8813568,-0.058234666,0.9699814,0.16461867,1.232891,0.9855731559917325,79.794975
0.019,0.98943216,9.620343,2.3581266,-0.03169967,0.9684767,0.19524066,1.232891,0.988468981781136,78.45694
0.02,1.0953146,10.146166,2.053042,0.041744333,0.9914737,0.21388634,1.232891,1.0151403851675271,77.60376
0.021,-0.41994038,10.030712,0.9349955,0.056587666,1.0128237,0.181719,1.1911197,1.030551216537162,79.35734
0.018,-0.3385844,9.410374,0.34277186,0.011447669,1.0056866,0.113216005,1.1911197,1.0121040126073002,83.54448
0.019,0.33738798,9.684352,1.1820544,-0.014314666,0.98998934,0.08361066,1.1911197,0.9936169011644914,85.10261
0.02,0.4648058,9.456435,2.9132617,0.015758334,0.9704693,0.150853,1.1911197,0.9822502761798824,81.11718
0.022,0.06999006,8.853444,3.7998023,0.029646,0.95153904,0.26835933,1.1911197,0.9891016939485076,74.15915
0.021,-0.9086744,9.267402,3.5114672,-0.012708333,0.93736666,0.3475373,1.1911197,0.9997999531813805,69.64482
0.022,-0.25603202,9.694521,3.0293136,-0.037210003,0.9454593,0.351482,1.1911197,1.0093648909734378,69.5025
0.013,0.27218357,9.614362,2.4646072,-0.030337334,0.9713233,0.306098,1.1911197,1.0188647227142638,72.42812
0.021,-0.39840496,9.74836,1.9806589,-0.0129929995,0.9876714,0.254065,1.1911197,1.0199081288727556,75.55617
0.018,-0.8673982,9.977472,-0.30209386,-0.033773664,0.997289,0.14082867,1.1911197,1.007749337797944,81.73754
0.02,-0.96729857,10.144372,-0.9020941,-0.07590433,1.0153044,0.026392667,1.1911197,1.01847982748709,85.47447
0.019,-0.79740816,9.274581,1.2502499,-0.08946667,0.99920034,0.0015656669,1.1911197,1.0031989153382292,84.88273
0.021,0.19800608,9.314062,2.7128627,-0.053253,0.9766507,0.10404567,1.1911197,0.983619846032755,83.17554
0.018,-0.06999006,9.571889,2.5561328,-0.022753,0.9571917,0.22159266,1.1911197,0.9827700491701672,76.89933
