dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.021,-0.55453664,9.277572,2.3114667,-0.043269336,0.98148996,0.204777,1.2244829,1.0035578661019509,77.96226
0.019,-0.45942193,9.466006,2.036292,-0.039629668,0.9668296,0.20664768,1.2244829,0.9894610883609638,77.72207
0.019,-0.44027936,9.678967,2.1888344,-0.04943033,0.96609765,0.22218233,1.2244829,0.9925487503030556,76.7428
0.019,-0.61675006,10.164711,3.1435707,-0.051544998,0.9962519,0.250466,1.2244829,1.0285465031514223,75.6043
0.021,-0.47318068,10.259826,3.3439696,-0.052012667,1.0232342,0.29491466,1.2244829,1.0661558528197357,73.68705
0.019,-0.32961133,10.300504,3.2350962,-0.048251,1.0443608,0.33047765,1.2244829,1.09646387530226,72.266
0.019,0.24047868,9.8835535,2.5441687,-0.019113332,1.034804,0.31010368,1.2244829,1.0804392186892988,73.28804
0.019,0.6466603,9.343972,1.7946169,0.018950665,1.0036737,0.25744033,1.2244829,1.036337537547354,75.57661
0.02,0.86141616,9.118449,1.7006987,0.059434336,0.963495,0.20528536,1.2244829,0.9869129462445101,77.49355
0.02,0.9529416,9.165708,1.9004993,0.083651334,0.939095,0.18340667,1.2244829,0.9604868598443056,77.88497
0.02,0.59641105,9.025727,2.0703897,0.08194333,0.92827773,0.19278033,1.2244829,0.9516188898632272,77.28378
0.019,0.2536392,9.077771,2.0865414,0.061284665,0.9268951,0.20589535,1.2244829,0.9514637134931495,76.95121
0.019,0.06699903,9.18485,1.9064814,0.031171,0.9275457,0.20609868,1.2244829,0.9506783734422775,77.334656
0.021,0.011365907,9.501301,1.8831514,0.0112850005,0.9437106,0.19973433,1.2244829,0.9646817599338733,78.03134
0.022,-0.40558344,9.6071825,2.1649063,-0.011122334,0.9617057,0.202398,1.2244829,0.9828359382388588,78.09773
0.023,-0.46301118,9.364311,1.9507487,-0.029137665,0.9678057,0.20390266,1.2244829,0.989481248062777,77.98527
0.012,-0.06999006,9.194421,1.588236,-0.031903,0.95737463,0.19387834,1.2263092,0.9773294213590384,78.40205
0.02,-0.14117654,9.292527,1.3938192,-0.022915667,0.9466793,0.16766866,1.2263092,0.9616858071782084,79.864944
0.019,-0.20638095,9.0849495,1.5086746,-0.014192667,0.9371837,0.15264232,1.2263092,0.9496390670316897,80.71009
