dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.022,-1.2053844,9.595219,-0.061615184,-0.13131267,0.98504835,-0.015046666,0.043931726,0.9938760879019343,82.357834
0.022,-1.0671989,9.60479,-0.01375873,-0.12387067,0.98037165,-0.007726667,0.043931726,0.9881964503572547,82.78497
0.023,-1.0247263,9.6376915,0.048454657,-0.11207733,0.98020905,-9.1500016E-4,0.043931726,0.9865961445956439,83.47693
0.011,-0.9631111,9.680762,0.014955142,-0.10384234,0.9831167,0.0016876665,0.043931726,0.9885871225381938,83.96969
0.017,-0.933799,9.538389,-0.1477568,-0.09930801,0.9808597,-0.0028670002,0.04597236,0.9858783113409164,84.21638
0.019,-1.1096715,9.452846,-0.11425728,-0.10219533,0.97457665,-0.008397667,0.04597236,0.9799561505466146,83.99377
0.022,-1.2143575,9.424132,-0.09990034,-0.11073533,0.9658537,-0.012301666,0.04597236,0.9722587084929148,83.41973
0.018,-1.2717853,9.62812,-0.032901313,-0.12222367,0.9689037,-0.008397667,0.04597236,0.9766184337504841,82.79358
0.019,-1.2011969,9.879965,0.025124637,-0.12533467,0.9834216,-0.0036600002,0.04597236,0.9913830056395643,82.73391
0.02,-1.0588241,9.856635,-0.032901313,-0.120047994,0.9981227,-0.0013826668,0.04597236,1.0053170351296787,83.14134
0.021,-0.90149593,9.742377,-0.14297116,-0.10746166,1.0020064,-0.0051240004,0.04597236,1.0077654056269194,83.87175
0.018,-0.9062816,9.790234,-0.061615184,-0.09743733,0.9989564,-0.008072334,0.04597236,1.0037295698875415,84.41011
0.019,-0.9493524,9.837492,-0.0041874396,-0.09371633,0.9983056,-0.007096334,0.04597236,1.0027199095819355,84.62182
0.019,-1.1539388,9.889536,0.0011964113,-0.10229701,1.0033077,-0.002196,0.04597236,1.0085116962454688,84.176956
0.02,-1.4195421,9.727423,0.04426722,-0.11974301,1.0011727,0.0014029999,0.052460067,1.008309008193323,83.17923
0.021,-1.5858432,9.713065,0.07298109,-0.14137767,0.9969433,0.004026,0.052460067,1.0069259100953294,81.92544
0.021,-1.4392828,9.8937235,-0.0035892338,-0.15107666,0.99708575,0.0038633335,0.052460067,1.008473636476429,81.38143
0.018,-1.1437693,9.851849,-0.14237295,-0.141703,1.001315,-0.0024806669,0.052460067,1.0112950197549329,81.94398
0.018,-1.0109676,9.785448,-0.23389842,-0.12216266,1.0037754,-0.012911667,0.052460067,1.0112642567466807,83.022804
0.02,-1.0295119,9.732806,-0.19621146,-0.10823434,0.9983056,-0.019459,0.052460067,1.0043442801905857,83.71388
0.02,-1.0869397,9.7704935,-0.12801601,-0.106302656,0.9955404,-0.018971,0.052460067,1.0013794499191069,83.80959
0.018,-0.9062816,9.885348,-0.14297116,-0.10274433,0.998936,-0.015880333,0.052460067,1.0043314742221743,84.05836
0.021,-0.5401797,10.042677,-0.16211374,-0.086111665,1.0094687,-0.014721334,0.052460067,1.013241798191946,85.05389
0.019,-0.5916254,9.900304,-0.31106696,-0.06927567,1.013881,-0.020943334,0.052460067,1.0164607022091248,85.9171
0.02,-0.9487542,9.676575,-0.31585258,-0.07071933,1.0067847,-0.026819667,0.05270791,1.0096216644059668,85.70379
0.019,-1.3770695,9.795019,-0.2428715,-0.09916567,0.99836665,-0.02956467,0.05270791,1.0037150370261014,84.08255
0.02,-1.21017,9.809377,-0.20997019,-0.12019033,0.995276,-0.026128331,0.05270791,1.0028472815175151,82.95506
0.019,-1.015155,9.562318,-0.18185452,-0.122447334,0.9913923,-0.021573668,0.05270791,0.9991583928210883,82.85172
0.019,-1.1670992,9.524033,-0.08075777,-0.11531033,0.9821814,-0.016063333,0.05270791,0.9890575047924619,83.23996
0.02,-1.2723835,9.722636,0.024526432,-0.117425,0.979233,-0.008092667,0.05270791,0.9862816243790185,83.14598
0.02,-1.2197413,9.7609215,-0.01794617,-0.124379,0.98598367,-0.0025213335,0.05270791,0.9938009308610913,82.808846
0.019,-1.1006985,9.671191,-0.119042926,-0.12212201,0.99098563,-0.0038226668,0.05270791,0.9984893195887452,82.97131
0.02,-1.119841,9.699904,-0.18125631,-0.116937004,0.990213,-0.010817333,0.05270791,0.9971524543884734,83.23651
0.019,-1.0486546,9.823733,-0.18125631,-0.11112168,0.992348,-0.016368333,0.05270791,0.9986844010439682,83.54238
0.019,-1.0588241,9.956535,-0.23868406,-0.10969833,1.0020471,-0.020435,0.049547642,1.0082408580049032,83.64589
0.02,-1.0773684,9.923634,-0.29132617,-0.10825467,1.0096517,-0.024176335,0.049547642,1.015726363438186,83.73059
0.019,-0.991825,9.833304,-0.26739794,-0.106323004,1.009977,-0.027104333,0.049547642,1.0159196485608941,83.79977
0.02,-0.87278205,9.881161,-0.2434697,-0.09999933,1.0074149,-0.027267002,0.049547642,1.0127330402886516,84.125694
0.019,-0.8632108,9.847662,-0.32961133,-0.09272,1.0048326,-0.028568333,0.049547642,1.0095056975850116,84.48495
0.02,-1.0205388,9.833304,-0.33439696,-0.093696,1.0048326,-0.030845666,0.049547642,1.0096628151285287,84.393364
0.02,-1.0396814,9.875777,-0.2434697,-0.099369,1.0046496,-0.030845666,0.049547642,1.010023044331957,84.08728
0.019,-1.0486546,9.809377,-0.14237295,-0.10567233,1.0033484,-0.024481332,0.049547642,1.0091946736733968,83.829796
0.02,-1.1246266,9.723235,-0.0951147,-0.109210335,0.9996071,-0.016347999,0.049547642,1.0056880634754752,83.6961
0.019,-1.1383854,9.609575,-0.17228323,-0.11256534,0.9905586,-0.013928334,0.049547642,0.9970312643352806,83.46783
0.018,-1.052842,9.590433,-0.14297116,-0.11270767,0.9831166,-0.013948667,0.044849865,0.9896544272074917,83.41055
0.021,-0.9720842,9.609575,-0.13339986,-0.10752267,0.9792533,-0.01525,0.044849865,0.9852566652215633,83.671814
