dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,-0.33080772,9.379267,2.4616163,-0.047783334,0.95286065,0.24989666,1.2167274,0.9862428771307428,75.05021
0.024,-0.44506502,9.559326,2.3952155,-0.041968,0.95511764,0.25071,1.2167274,0.9883655872575279,75.096596
0.021,-0.46899325,9.559326,2.3904297,-0.042313665,0.96865964,0.24633832,1.2167274,1.0003871812654825,75.53143
0.022,-0.5072784,9.530613,2.4143581,-0.048311997,0.973804,0.244732,1.2167274,1.0052472477768681,75.63179
0.011,-0.52582276,9.516255,2.4430718,-0.051057,0.9723399,0.24635868,1.2167274,1.0043626591998538,75.492874
0.019,-0.48753762,9.45464,2.4239295,-0.05168733,0.96878165,0.24749734,1.2167274,1.0012314400070172,75.372986
0.019,-0.4546363,9.464211,2.428715,-0.049898,0.9665246,0.24798532,1.2167274,0.9990777410492272,75.33372
0.019,-0.44985065,9.51147,2.4382863,-0.04731567,0.966362,0.24782266,1.2167274,0.9987544022449465,75.36779
0.021,-0.41156548,9.502497,2.4191437,-0.044733334,0.96798867,0.24766,1.2167274,1.0001692906181463,75.42634
0.023,-0.35473597,9.540184,2.466402,-0.04133767,0.97057104,0.248941,1.2167274,1.0028402526403115,75.425735
0.022,-0.38344982,9.521041,2.4424736,-0.03908067,0.9708963,0.24908334,1.2167274,1.0030999159743978,75.442535
0.023,-0.4354937,9.464211,2.4616163,-0.039894,0.96959496,0.250527,1.2167274,1.0022323502019825,75.337906
0.01,-0.47377887,9.45464,2.4711876,-0.04394033,0.9666874,0.25068966,1.2167274,0.9996302062539943,75.24981
0.018,-0.44985065,9.507282,2.4239295,-0.04619733,0.96621966,0.25005934,1.2167274,0.999121765992127,75.25521
0.021,-0.47377887,9.554541,2.3425734,-0.047498662,0.96929,0.246013,1.2167274,1.0011501678143973,75.50662
0.021,-0.5306084,9.549755,2.333002,-0.04943033,0.972523,0.241316,1.2167274,1.0032336253327219,75.78671
0.017,-0.5449654,9.483355,2.3856442,-0.052663337,0.97170967,0.24001467,1.2167274,1.0022974359644565,75.80867
0.019,-0.44506502,9.478569,2.400001,-0.051687334,0.96912736,0.24196666,1.2167274,1.0002136179017553,75.67792
0.02,-0.3930211,9.497711,2.347359,-0.04701067,0.96735835,0.24245465,1.2167274,0.9983869181530216,75.67814
0.02,-0.36909288,9.468997,2.370689,-0.04103267,0.9668703,0.24194634,1.2167274,0.9975268935979089,75.75852
0.019,-0.317049,9.507282,2.385046,-0.03668133,0.96784633,0.24143799,1.2283857,0.9981805185517859,75.83865
0.02,-0.3361916,9.564112,2.3521447,-0.034749668,0.97010326,0.24160068,1.2283857,1.000339327068918,75.87704
0.019,-0.34516466,9.5353985,2.3659034,-0.033936333,0.9723603,0.24143799,1.2283857,1.0024612482243582,75.92379
0.019,-0.30269206,9.549755,2.4281168,-0.033448335,0.973804,0.242902,1.2283857,1.0041983844357816,75.867294
0.02,-0.34516466,9.502497,2.3659034,-0.03375333,0.97170967,0.24336965,1.2283857,1.0022912530430106,75.81007
0.02,-0.49232325,9.449855,2.3856442,-0.03875533,0.968802,0.24404067,1.2283857,0.9998175286458099,75.69146
0.019,-0.6017949,9.492328,2.4095724,-0.048922002,0.96685,0.24341033,1.2283857,0.9982188347880552,75.59818
0.019,-0.6693921,9.506684,2.4095724,-0.059942663,0.9669923,0.24489467,1.2283857,0.9993201017408787,75.386635
0.02,-0.65024954,9.459426,2.361716,-0.065310664,0.96731764,0.24408133,1.2283857,0.9997722732285647,75.36116
0.02,-0.63529444,9.430713,2.376073,-0.06644934,0.9652233,0.24294268,1.2283857,0.9975433328450177,75.37531
0.019,-0.5880362,9.54497,2.3856442,-0.063683994,0.96652466,0.24212933,1.2283857,0.9984248499884412,75.477585
0.019,-0.5401797,9.57787,2.333002,-0.059942674,0.9705507,0.24115334,1.2283857,1.0018566523719157,75.63899
