dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,1.1760724,7.8370924,0.6562316,-0.021105995,0.79857135,0.029219,1.2739354,0.7993843951029056,87.41566
0.02,3.112464,7.8400836,1.1910275,0.12960467,0.79204434,0.037271,1.2739354,0.8034430510598627,80.337234
0.019,4.3609195,8.129017,0.75912297,0.29399967,0.8091853,0.08859233,1.317992,0.8654855860595182,69.22002
0.02,6.2309103,9.062218,2.6225336,0.46581635,0.850828,0.15542799,1.317992,0.9823700949804888,60.00825
0.02,6.7256265,9.214162,3.626921,0.5886297,0.89753366,0.23822534,1.317992,1.099455740582195,54.72045
0.018,6.905088,8.089535,2.347359,0.6751073,0.89619166,0.29221034,1.317992,1.1594465211164808,50.61936
0.02,8.323434,7.9106717,-0.31585258,0.7462333,0.85704994,0.192333,1.317992,1.1525583282657854,48.03957
0.02,8.763713,8.153543,-1.1473584,0.815509,0.82099897,0.030052667,1.317992,1.1575825801764408,45.172783
0.02,8.837293,7.9980097,-0.2219343,0.8811857,0.817888,-0.057278994,1.317992,1.2036236767098492,42.806267
0.018,7.7120676,7.5176506,0.07776674,0.86040497,0.804529,-0.043899667,1.317992,1.1787666520868347,43.040707
0.02,5.869594,6.6329045,0.08554341,0.76203233,0.75284165,-0.0019926669,1.317992,1.0711992321150945,44.652313
0.02,4.1754756,6.7495546,0.6089734,0.6035747,0.710406,0.026250334,1.317992,0.9325600156653286,49.62143
0.02,2.4735804,7.517052,1.7060826,0.42551565,0.7103856,0.08159767,1.317992,0.8320874231048497,58.62074
0.019,1.1407782,7.2095747,2.3138595,0.26478067,0.72998697,0.15733933,1.317992,0.7923038808594751,67.123856
0.019,-0.12502499,7.0432734,1.3357933,0.11860433,0.7399707,0.18204434,1.317992,0.7712092734056496,73.636604
0.02,-1.1455638,7.669595,-0.6299106,-0.004412333,0.74515563,0.10264266,1.317992,0.7522046939194216,82.14993
0.021,-2.6853452,8.648857,-0.87278205,-0.13446432,0.7940777,-0.0056729987,1.317992,0.805401900906325,80.380684
0.021,-3.6179478,9.385248,0.0526421,-0.25319064,0.8736827,-0.049288,1.317992,0.9109644487610387,73.551476
0.016,-4.3268213,10.188041,0.92602235,-0.36132333,0.959286,0.0035990004,1.317992,1.0250839381191486,69.35977
0.02,-5.1296134,10.8556385,1.4063815,-0.44440532,1.0342957,0.08106899,1.317992,1.1286433526275421,66.406235
0.02,-5.8271213,11.049457,1.8406788,-0.5194963,1.0908631,0.14184533,1.317992,1.2165438125401502,63.726402
0.019,-5.8947186,10.299905,1.2394822,-0.57278997,1.0946654,0.15249999,1.317992,1.244844146339932,61.56521
0.019,-5.725426,9.957133,1.189831,-0.59304196,1.0641247,0.14513934,1.4338692,1.2268355935113404,60.15486
0.019,-3.4271202,9.919446,2.274976,-0.51146466,1.025715,0.15990134,1.4338692,1.1572621910215342,62.415535
0.02,-1.1521441,9.713663,1.5254245,-0.35026202,1.0057883,0.16962068,1.4338692,1.0784548258911346,68.84697
