dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,-1.867598,9.458828,1.5451652,-0.19381733,0.96778536,0.14345168,0.049126007,0.9973725691059729,76.00929
0.02,-1.9387846,9.4636135,1.602593,-0.19398,0.96487767,0.15384199,0.049126007,0.996134781745948,75.60888
0.022,-1.7389839,9.753145,1.4883357,-0.18848999,0.9746987,0.15758333,0.049126007,1.0051858434064505,75.85263
0.023,-1.3220345,10.209576,1.3639089,-0.169946,1.000217,0.15142234,0.049126007,1.0257896157819828,77.179596
0.022,-1.2119647,9.977472,1.3441681,-0.145241,1.0176834,0.14263834,0.049126007,1.0378439777520234,78.6883
0.012,-1.4063815,9.8015995,1.3920245,-0.13393568,1.0193304,0.13936467,0.049126007,1.037494918527806,79.262794
0.018,-1.4685949,9.834501,1.6169499,-0.13891733,1.0065813,0.14796565,0.049126007,1.026838733789408,78.60028
0.02,-1.3154542,9.540782,1.4153546,-0.142435,0.991738,0.15038534,0.049126007,1.0131375923766153,78.20298
0.02,-1.1958131,9.394221,1.2191432,-0.13527767,0.97789097,0.144509,0.049126007,0.997724233806681,78.55672
0.019,-1.1724831,9.44148,1.0283155,-0.12521267,0.96453196,0.124501,0.05826398,0.9805613744781693,79.62588
0.019,-1.0594223,9.826126,1.3154542,-0.116510004,0.974231,0.121105336,0.05826398,0.9886188010847227,80.21305
0.019,-1.1210374,9.711869,1.1718849,-0.113968335,0.985028,0.119499,0.05826398,0.9987737525668242,80.48331
0.02,-1.0390832,9.332606,1.0277174,-0.109434,0.98132735,0.119478665,0.05826398,0.9946126530252553,80.62482
0.018,-1.038485,9.242876,0.9457632,-0.10872233,0.9615023,0.10691267,0.05826398,0.9735181372135451,80.98868
0.021,-0.9098708,9.233903,0.89312106,-0.10154467,0.945256,0.09743733,0.05826398,0.9556747611278519,81.53193
0.019,-0.7531409,9.238688,0.77347994,-0.091825336,0.9420636,0.08879567,0.05826398,0.9506841986369796,82.27827
0.02,-0.6538388,9.537791,0.6831509,-0.078751,0.95208806,0.07986934,0.05826398,0.9586722593678831,83.28105
0.019,-0.7680961,9.608379,0.74536425,-0.073932,0.96481675,0.074847005,0.05826398,0.9705356119639729,83.77702
0.02,-0.87218386,9.319446,0.73100734,-0.077978335,0.9675617,0.073403336,0.05826398,0.9734702645829265,83.68411
0.02,-1.099502,8.9826565,0.654437,-0.09312668,0.9486923,0.07242733,0.060655236,0.9559996955244133,82.91133
0.018,-1.352543,9.256635,0.7890333,-0.11299234,0.9367364,0.07391167,0.060655236,0.9464170832102871,81.79802
0.02,-1.5768701,9.607781,0.7896315,-0.136945,0.946537,0.07590434,0.060655236,0.9593996697637731,80.607346
0.02,-1.5056837,9.7501545,0.76570326,-0.15075134,0.9726247,0.079686336,0.060655236,0.9874587192376687,80.05622
0.019,-1.1395818,9.783653,0.85124665,-0.14351268,0.99053836,0.081801,0.060655236,1.0042178711960073,80.532135
0.019,-0.9062816,9.579665,0.8362915,-0.12071901,0.9895826,0.083386995,0.060655236,1.000400014256882,81.56659
0.02,-0.6149554,9.3200445,0.59641105,-0.090442665,0.97496295,0.077632666,0.060655236,0.9822216958519211,83.03005
0.02,-0.99601245,9.381062,0.43968117,-0.08556267,0.9612787,0.06364333,0.060655236,0.967175340058805,83.66995
0.019,-1.4721842,9.783653,0.3068795,-0.104798,0.96821237,0.045648333,0.060655236,0.9749367037101431,83.26679
0.02,-1.3824533,10.130613,0.27876383,-0.13088568,0.995764,0.03485133,0.060655236,1.004933656076957,82.25406
