dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.019,-1.7150556,9.673584,0.6299106,-0.16972233,0.984845,0.06488367,1.1788186,1.0014665252313637,79.54663
0.021,-1.6911274,9.645468,0.6538388,-0.17197932,0.984845,0.06553433,1.1788186,1.0018938446145693,79.41499
0.018,-1.6582261,9.650253,0.6538388,-0.17214198,0.98468226,0.06585967,1.1788186,1.001783167926982,79.39822
0.02,-1.7006987,9.65504,0.6346962,-0.171654,0.98405194,0.06602234,1.1788186,1.0010905409155035,79.41393
0.019,-1.7389839,9.669396,0.60598236,-0.17328067,0.98486537,0.064395666,1.1788186,1.0020642617961417,79.36929
0.019,-1.7294126,9.659825,0.62512493,-0.17570032,0.9851907,0.06341967,1.1788186,1.0027429144139801,79.26398
0.02,-1.7150556,9.640682,0.6299106,-0.17618833,0.98470265,0.063257,1.1788186,1.002338805009471,79.23609
0.019,-1.7437695,9.664611,0.62512493,-0.176351,0.98454,0.06390767,1.1788186,1.0022488948059605,79.213356
0.021,-1.7341982,9.645468,0.6538388,-0.17651367,0.984052,0.06488367,1.1788186,1.0018609238305538,79.18075
0.019,-1.7581264,9.635897,0.66341007,-0.17797768,0.98388934,0.06602234,1.1788186,1.0020345502708436,79.07972
0.019,-1.762912,9.6783695,0.6681957,-0.17862833,0.98435694,0.06748634,1.1788186,1.0027068711417546,79.0218
0.019,-1.7437695,9.6783695,0.73519474,-0.17895366,0.9854753,0.070251666,1.1788186,1.004052429034011,78.961266
0.021,-1.7485552,9.635897,0.77347994,-0.17862833,0.9854753,0.073993,1.1788186,1.0042632188163942,78.89978
0.018,-1.8203398,9.71127,0.86919284,-0.18058033,0.98659366,0.080825,1.1788186,1.006235059340682,78.66081
0.019,-1.9208384,9.906285,0.9798609,-0.186599,0.99434066,0.08914134,1.1788186,1.0156174034238348,78.25142
0.02,-1.9974087,10.019346,1.1138589,-0.19505768,1.0073743,0.10071101,1.1788186,1.0310155952714302,77.706566
0.019,-2.082952,9.805787,1.3579268,-0.203984,1.010587,0.11732334,1.1788186,1.0376224164753898,76.89215
0.02,-2.1870399,9.600603,1.6013966,-0.21303232,1.0001966,0.13844967,1.1788186,1.0319613709428614,75.74725
0.019,-2.1912274,9.401401,1.7635103,-0.21962033,0.9791923,0.16053165,1.1788186,1.0162780600205519,74.473854
0.02,-2.053042,9.287143,2.015953,-0.21860367,0.96156335,0.18289833,1.2150395,1.002917462593526,73.48923
0.02,-1.7623138,8.983852,2.3168504,-0.20416701,0.9405997,0.207217,1.2150395,0.9845561474149169,72.81469
0.019,-1.2909278,8.608778,2.650051,-0.17356533,0.91365796,0.237351,1.2150395,0.9598079465866993,72.160355
0.019,-1.0624132,8.565707,2.7882366,-0.13989332,0.889136,0.26360133,1.2150395,0.9378798751352362,71.44665
0.02,-0.88235337,8.76132,2.9270203,-0.109983,0.881572,0.28434134,1.2150395,0.932799796392714,70.92329
0.019,-1.0307083,9.22134,2.7032914,-0.101137996,0.90239334,0.28615102,1.2150395,0.9520635710951881,71.41089
0.021,-1.430908,9.515059,2.446063,-0.11366334,0.93466234,0.2745203,1.2150395,0.9807519806268828,72.365036
0.019,-1.6642082,9.652048,2.408376,-0.140239,0.96493864,0.25689134,1.2150395,1.0083485101387795,73.12685
0.019,-1.8161523,9.524033,2.2797618,-0.16693668,0.97522736,0.24249534,1.2150395,1.018695362992039,73.20205
0.02,-1.9872392,9.387043,2.0398812,-0.18584667,0.97087604,0.228689,1.2150395,1.0146122044044954,73.11583
0.021,-2.120041,9.482158,1.6917256,-0.20134068,0.9651013,0.20432967,1.2150395,1.0068312688158172,73.446335
0.019,-2.263012,9.572487,1.4673985,-0.21652967,0.9667483,0.176717,1.2150395,1.0063380468219696,73.875336
