dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,-1.329213,9.550353,1.3501502,-0.14556634,0.9770573,0.14046267,1.21011,0.9977776536534727,78.30304
0.019,-1.4673985,9.62154,1.2071791,-0.14298402,0.9772403,0.13558267,1.21011,0.9969080904357976,78.600044
0.022,-1.5290136,9.64487,1.2119647,-0.14703034,0.97949725,0.12812033,1.21011,0.9987229899158027,78.73958
0.022,-1.5625132,9.64487,1.2646067,-0.15496033,0.98271006,0.12521267,1.21011,1.0027013446678428,78.53972
0.022,-1.5768701,9.640084,1.3124632,-0.15868133,0.98334026,0.12879133,1.21011,1.0043530486252306,78.25926
0.022,-1.5433706,9.583255,1.3794622,-0.15916933,0.981246,0.13448466,1.21011,1.003127460791022,78.01082
0.011,-1.4626129,9.568898,1.3459628,-0.15577365,0.9786637,0.13725,1.21011,1.0004427019894089,78.02293
0.02,-1.4057833,9.630513,1.3172488,-0.14995833,0.9783384,0.13741267,1.21011,0.9992576273920508,78.25559
0.019,-1.410569,9.7399845,1.2981063,-0.14544433,0.9836657,0.13464732,1.21011,1.0034351871760328,78.607864
0.019,-1.4249259,9.763314,1.3411771,-0.14416333,0.99027395,0.13448466,1.21011,1.0097087154780904,78.740295
0.02,-1.5200406,9.6682,1.4081762,-0.14804699,0.991555,0.13757534,1.21011,1.0119417742023213,78.47967
0.024,-1.5577276,9.568898,1.4751751,-0.15304899,0.9857397,0.14359401,1.21011,1.0078323303055619,77.981155
0.021,-1.5481563,9.549755,1.4937196,-0.15723766,0.97848064,0.148779,1.2219683,1.0021393278074995,77.52541
0.013,-1.5002998,9.568898,1.4458631,-0.15656666,0.97510535,0.15006001,1.2219683,0.9989302089098441,77.461334
0.018,-1.5050855,9.549755,1.4081762,-0.15477733,0.9744547,0.14778268,1.2219683,0.9976761541483061,77.61396
0.02,-1.5906289,9.412168,1.4267205,-0.156221,0.969778,0.14550535,1.2219683,0.9929985807547344,77.58494
0.019,-1.6235301,9.402596,1.4889339,-0.16040967,0.96412534,0.14696933,1.2219683,0.9883667894373575,77.28406
0.021,-1.6193427,9.516255,1.5080764,-0.16429333,0.96298665,0.150365,1.2219683,0.9884053903474249,76.97789
0.019,-1.6384853,9.554541,1.4703895,-0.16592,0.96782595,0.15184933,1.2219683,0.993616995929679,76.91705
