dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,-1.2490535,9.672985,1.6564314,-0.12897433,0.98185605,0.18060066,1.2437861,1.006624197788511,77.263664
0.022,-1.2346965,9.564112,1.7754744,-0.12606667,0.98364526,0.17588334,1.2437861,1.0071671916581928,77.59287
0.022,-1.3202399,9.568299,1.9190438,-0.12929966,0.97911096,0.18188167,1.2437861,1.004219899203355,77.16057
0.022,-1.3387842,9.530613,1.875973,-0.13234967,0.9742716,0.189344,1.2437861,1.0012855380262602,76.6607
0.023,-1.2867404,9.530613,1.8329022,-0.13411866,0.973133,0.191296,1.2437861,1.0007846235948483,76.50006
0.01,-1.2628121,9.521041,1.7898313,-0.13216667,0.9715267,0.186904,1.2437861,0.9981308669050571,76.741714
0.021,-1.3202399,9.554541,1.7994026,-0.13153632,0.97234005,0.18430133,1.2437861,0.9983556240053942,76.891335
0.018,-1.3866407,9.5348,1.8903298,-0.134932,0.97248226,0.18625332,1.2437861,0.9993091104875061,76.693985
0.02,-1.4057833,9.51147,1.9477576,-0.13979167,0.972157,0.19162135,1.2437861,1.0006746159255626,76.28854
0.019,-1.3818551,9.544372,1.861616,-0.141886,0.9718113,0.193736,1.2437861,1.0010406917108936,76.12019
0.023,-1.3202399,9.568299,1.8041883,-0.139629,0.97295,0.190808,1.2458937,1.0012670065788651,76.34114
0.023,-1.2675978,9.568299,1.8041883,-0.134932,0.97488165,0.18592799,1.2458937,1.0015837906272675,76.740234
0.012,-1.3339987,9.521041,1.8089739,-0.13330533,0.9740886,0.18413866,1.2458937,1.0002629519713129,76.86382
0.02,-1.3722838,9.516255,1.8137596,-0.13507433,0.9723196,0.184464,1.2458937,0.9988380500273393,76.7679
0.022,-1.3387842,9.51147,1.8233309,-0.13749401,0.97038794,0.18511467,1.2458937,0.9974090379760814,76.632904
0.017,-1.2580265,9.559326,1.7994026,-0.13491167,0.9716894,0.18478934,1.2458937,0.9982627694972039,76.750305
0.02,-1.2819548,9.568299,1.7850457,-0.13184133,0.9734583,0.18381333,1.2458937,0.9993950774798511,76.91813
0.018,-1.3435699,9.5353985,1.8041883,-0.13200401,0.9742717,0.18316267,1.2458937,1.0000894946691097,76.95285
0.021,-1.3627125,9.530613,1.8041883,-0.13556235,0.9732957,0.18332534,1.2458937,0.9996448497261241,76.815735
0.039,-1.3154542,9.568299,1.8233309,-0.136701,0.9732957,0.18462665,1.2458937,1.0000393306954471,76.7196
0.001,-1.2723835,9.530613,1.8041883,-0.13428134,0.973133,0.18462665,1.2458937,0.9995530842041748,76.79732
0.018,-1.2867404,9.5353985,1.7563318,-0.131699,0.9732957,0.18300001,1.2458937,0.9990686301998266,76.95755
0.018,-1.2963116,9.582657,1.7515461,-0.13104834,0.97378373,0.18056,1.2458937,0.9990146811663402,77.09566
0.021,-1.2723835,9.563514,1.8089739,-0.13104834,0.974902,0.18072265,1.2458937,1.000134092736524,77.10261
0.02,-1.2532408,9.554541,1.8424734,-0.12990966,0.97555274,0.18365066,1.2458937,1.0011529498405884,77.015114
0.019,-1.2819548,9.554541,1.8089739,-0.12942167,0.974597,0.18560266,1.2458937,1.000518657980817,76.92933
