dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.019,-0.16031912,9.669994,1.6139588,-0.013420001,0.98799664,0.16018601,1.153189,1.0009880168118497,80.75897
0.021,-0.19322042,9.664611,1.6713866,-0.016165001,0.98555666,0.164578,1.153189,0.9993343591581115,80.4749
0.018,-0.26919255,9.64128,1.6474584,-0.021167,0.98490596,0.16766866,1.153189,0.9993000382332708,80.2635
0.021,-0.26021945,9.646067,1.6570296,-0.024562666,0.9840927,0.16913266,1.153189,0.998823132229194,80.14776
0.018,-0.18364914,9.650852,1.6618153,-0.024237335,0.983625,0.16880734,1.153189,0.9982993026308002,80.164
0.02,-0.15553348,9.669396,1.6857436,-0.020374,0.9845807,0.17010868,1.153189,0.999375408803031,80.12897
0.018,-0.26919255,9.626924,1.6857436,-0.020679,0.98393005,0.17108469,1.153189,0.9989073716523071,80.06575
0.023,-0.2835495,9.698111,1.6331015,-0.024074668,0.98553634,0.17010868,1.153189,1.0003991316600034,80.111305
0.02,-0.24107689,9.674182,1.6474584,-0.026982332,0.985699,0.16880734,1.153189,1.0004131545321493,80.161064
0.016,-0.2739782,9.5557375,1.7144574,-0.027145,0.9832794,0.16978334,1.1494752,0.9981991912850984,80.081375
0.02,-0.37387854,9.489336,1.7575282,-0.030215332,0.976183,0.17401266,1.1494752,0.9920315602646008,79.7447
0.021,-0.34097722,9.659825,1.8628124,-0.033611003,0.9756951,0.18133266,1.1494752,0.9929713544519697,79.296524
0.017,-0.25543383,9.798011,1.7001005,-0.03298067,0.98393005,0.18084466,1.1494752,1.0009549755885288,79.41747
0.02,-0.19800608,9.717253,1.599602,-0.027002668,0.99167705,0.17547667,1.1494752,1.0074445737098672,79.84978
0.02,-0.23150559,9.626924,1.6570296,-0.023281666,0.9905587,0.168482,1.1494752,1.0050545897381438,80.25711
0.018,-0.36430725,9.588638,1.7336,-0.026982332,0.983442,0.16962068,1.1494752,0.9983273033637896,80.09351
0.021,-0.52582276,9.555139,1.8532411,-0.038124997,0.9779317,0.17824201,1.1494752,0.9947733902603499,79.441986
0.019,-0.59282184,9.512068,1.9537396,-0.050406337,0.97402763,0.18832733,1.1494752,0.9933467733724757,78.681564
0.019,-0.63529444,9.464211,2.0781665,-0.059617337,0.96979827,0.20003933,1.1494752,0.9920073778529163,77.853294
0.02,-0.65982085,9.568898,2.164308,-0.06417201,0.97026604,0.21061265,1.1494752,0.9949331300270964,77.21502
0.019,-0.6263213,9.568898,2.1595225,-0.065310664,0.9721977,0.21760733,1.1494752,0.9983921198604061,76.846405
0.02,-0.59282184,9.45464,2.2504497,-0.063867,0.9718723,0.22346334,1.1494752,0.9992750794115988,76.55104
0.021,-0.4408776,9.459426,2.3407788,-0.056425,0.96815133,0.22946167,1.1494752,0.9965708396148368,76.28397
0.017,-0.4743771,9.582657,2.4077778,-0.051260337,0.96861905,0.2379,1.1494752,0.9987226318046961,75.89671
0.021,-0.421735,9.582657,2.3503501,-0.045445,0.9729703,0.24129568,1.1494752,1.00347400133874,75.83664
0.019,-0.53599226,9.48814,2.364707,-0.048678,0.97394633,0.24210902,1.1494752,1.0047675265929332,75.77195
0.02,-0.57846487,9.45464,2.431706,-0.052215997,0.969595,0.24292235,1.1494752,1.0009257075652123,75.62657
0.023,-0.65982085,9.482756,2.3653052,-0.060308665,0.96619934,0.24343066,1.1494752,0.9982168013509432,75.44925
0.024,-0.8787641,9.482756,2.2223341,-0.07195967,0.9660163,0.23859133,1.1494752,0.9976429687511011,75.53461
