dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.022,-0.46839502,9.516854,2.0602202,-0.06673399,0.9728484,0.20947398,1.2245715,0.9973799749957346,77.26605
0.02,-0.47856453,9.6071825,1.945963,-0.056059003,0.97221804,0.20752199,1.2245715,0.9956986988559928,77.53234
0.013,-0.56410795,9.664013,1.9076779,-0.051361997,0.97852135,0.20101534,1.2245715,1.0002745860812705,78.02903
0.021,-0.6879365,9.659226,1.9076779,-0.05882433,0.9833606,0.19583033,1.2245715,1.0043942787711357,78.25365
0.025,-0.77347994,9.616156,1.96032,-0.06884866,0.98366565,0.19631833,1.2245715,1.0054248483712989,78.058205
0.019,-0.77826554,9.58804,2.0321047,-0.076128,0.9810832,0.20054765,1.2245715,1.0042604769738532,77.66659
0.023,-0.7639086,9.540184,2.012962,-0.078710325,0.97703695,0.20412634,1.2027125,1.0012312853207723,77.37868
0.01,-0.74476606,9.535996,1.9268204,-0.07773433,0.9743123,0.20298767,1.2027125,0.9982640376993976,77.42365
0.019,-0.75912297,9.58804,1.9076779,-0.07708367,0.9743123,0.19875832,1.2027125,0.9973621358620743,77.65804
0.02,-0.7645068,9.664013,1.9507487,-0.077103995,0.97852135,0.19664367,1.2027125,1.0010583318625799,77.819275
0.019,-0.7645068,9.640084,1.9507487,-0.077774994,0.9820593,0.197457,1.2027125,1.0047281649305324,77.80597
0.021,-0.7543373,9.564112,1.8885353,-0.07761233,0.981246,0.19680636,1.2027125,1.003792866070236,77.83326
0.023,-0.77826554,9.573684,1.8837496,-0.07808,0.97817564,0.194529,1.2027125,1.0003827266172076,77.90499
0.022,-0.82612205,9.583255,1.8747765,-0.08017433,0.976244,0.19194667,1.2027125,0.9981601782088759,77.971344
0.022,-0.8213364,9.568898,1.9028922,-0.082451664,0.97640675,0.19243467,1.2027125,0.9985987812758639,77.89828
0.01,-0.8356933,9.578469,1.8987048,-0.08440367,0.97656935,0.19294299,1.2027125,0.99901885970854,77.83058
0.019,-0.8925229,9.606585,1.869991,-0.08666066,0.97736233,0.19278033,1.2027125,0.9999557287254572,77.79724
0.019,-0.93559366,9.649655,1.8747765,-0.090544336,0.9801073,0.19182467,1.2027125,1.002798741808461,77.7881
0.022,-0.9451649,9.640084,1.8795621,-0.094265334,0.98220164,0.19117399,1.2027125,1.0050639280486415,77.75591
0.032,-0.9212367,9.578469,1.8508483,-0.09524133,0.981246,0.19052334,1.2027125,1.0040984794742442,77.75264
0.008,-0.87338024,9.568898,1.8939191,-0.09312666,0.978501,0.19117399,1.2027125,1.0013412593839994,77.73903
0.016,-0.8021938,9.592228,2.0416758,-0.088267,0.97687435,0.19668432,1.2027125,1.0003795688301411,77.55512
0.021,-0.721436,9.606585,2.012962,-0.08147567,0.97783,0.20219465,1.2027125,1.0018345442507675,77.43228
0.018,-0.5922236,9.58804,2.0847468,-0.071919,0.97848064,0.208681,1.2027125,1.0030675254580106,77.28798
0.02,-0.5306084,9.5455675,2.1038892,-0.062687665,0.9768947,0.21079569,1.2027125,1.001342985093312,77.31305
0.019,-0.4779663,9.5455675,1.9932213,-0.054411996,0.9748206,0.21012467,1.2027125,0.9986932822894197,77.44721
0.02,-0.4019942,9.602397,1.9405792,-0.047945995,0.97530866,0.20522434,1.2191378,0.9978190326909998,77.80668
0.019,-0.30269206,9.583853,2.0267208,-0.040199,0.97661,0.20260133,1.2191378,0.9982135841659725,78.05808
0.02,-0.30269206,9.62154,2.1134605,-0.034241334,0.9791923,0.20668834,1.2191378,1.0013541498520127,77.923256
0.019,-0.3074777,9.626326,2.108675,-0.031028666,0.9800057,0.212402,1.2191378,1.003239016351,77.64531
0.02,-0.34037903,9.611969,2.0267208,-0.032309666,0.9809613,0.212402,1.2191378,1.0042129462283038,77.64645
0.019,-0.41156548,9.592826,2.0027926,-0.03601033,0.9799853,0.20864034,1.2191378,1.0025959883176783,77.80869
0.02,-0.5162515,9.526425,1.9597218,-0.043106664,0.9765897,0.20357734,1.2191378,0.9985135553557563,77.97137
0.019,-0.5778667,9.460024,1.9501505,-0.051179003,0.971425,0.20097466,1.2191378,0.993315975944599,77.94891
0.02,-0.5347959,9.451052,1.9166509,-0.055367667,0.96660596,0.19804667,1.2191378,0.9882384055910682,77.98969
0.019,-0.48753762,9.526425,1.9597218,-0.054391667,0.96660596,0.19804667,1.2191378,0.9881842040716886,78.00448
0.019,-0.60658056,9.493524,1.8358932,-0.055367667,0.96774465,0.19416301,1.2191378,0.9885820944454521,78.2153
0.02,-0.7070791,9.52164,1.783251,-0.061223667,0.97014403,0.18962866,1.2191378,0.9903973000617415,78.39294
0.02,-0.83030945,9.564112,1.7694924,-0.072874665,0.971425,0.18316267,1.2191378,0.9912243977056883,78.52898
0.019,-0.86859465,9.540782,1.774278,-0.08178067,0.9730313,0.18106835,1.2191378,0.9931081012612908,78.45962
0.02,-0.7399804,9.417552,1.6307086,-0.082899004,0.9694933,0.17588334,1.2191378,0.9887995294443768,78.659294
0.02,-0.58683974,9.394221,1.4392828,-0.07462334,0.96371865,0.16465934,1.2191378,0.9805279095042236,79.37563
0.019,-0.47258246,9.470792,1.2765709,-0.061162665,0.96133965,0.14774199,1.2191378,0.9745473278907837,80.55635
0.019,-0.634098,9.456435,1.1479566,-0.057563663,0.9626613,0.131333,1.2191378,0.9732824661277171,81.52776
0.02,-0.95772725,9.356535,1.1192428,-0.070170335,0.9613803,0.12045467,1.2191378,0.9714346555890901,81.749466
0.019,-1.1766706,9.313464,1.4063815,-0.09410266,0.9560327,0.12486699,1.2191378,0.9687340124502365,80.71175
0.02,-0.9822537,9.327223,1.7120646,-0.10593667,0.95164067,0.14404133,1.1760992,0.96829253778555,79.35883
0.019,-0.74835527,9.171091,1.6109679,-0.09882,0.9453373,0.16075534,1.1760992,0.9639866560505189,78.71152
0.02,-0.54317075,9.08136,1.7108682,-0.077286996,0.937448,0.17110501,1.1760992,0.9560643305150331,78.67477
0.019,-0.25902304,9.375079,1.9160527,-0.052703995,0.9390747,0.17803867,1.1760992,0.9572548055258255,78.81565
0.02,0.111864455,9.342776,1.8729819,-0.023464665,0.9449103,0.18694466,1.1760992,0.9635114684389634,78.723366
0.019,0.3595216,9.381062,1.6576279,0.0072183334,0.9550974,0.185135,1.1760992,0.9729018836680646,79.02179
0.02,0.71724856,9.139984,1.4895321,0.040402334,0.94710636,0.17063732,1.1760992,0.9632029406555815,79.51059
0.018,0.6376872,8.508878,1.4644074,0.05827533,0.91876173,0.15674967,1.1760992,0.9338573706723996,79.68406
0.02,0.010169496,8.170891,1.7036897,0.046400666,0.8776274,0.15831533,1.1760992,0.8929986400668475,79.35389
0.02,0.24885355,7.900502,1.9513469,0.030479668,0.83549666,0.17401266,1.1760992,0.8539696083345673,78.06095
0.019,0.034097724,8.1230345,1.9710877,0.009963333,0.8223817,0.19123499,1.1760992,0.8443824426996538,76.89208
0.02,0.82971126,7.7162547,1.9788643,0.03782,0.80692834,0.20058835,1.1760992,0.8323457077546638,75.804146
0.02,0.0065802624,7.8436728,1.7270198,0.029584998,0.80499667,0.19296332,1.1760992,0.828329494474301,76.3685
0.019,0.098703936,6.9990063,1.9549361,0.031781,0.76679033,0.19241433,1.1760992,0.79120207059426,75.73028
0.019,-0.052043892,6.314659,2.3994029,0.0018096669,0.71914935,0.20670867,1.1760992,0.7482696961818655,73.962944
0.02,-0.5886344,6.067002,2.5860431,-0.018421998,0.65875936,0.23590736,1.1760992,0.699968243186589,70.2418
0.019,-0.2943172,6.175875,2.824727,-0.031781,0.6307807,0.26547202,1.1760992,0.6851056234894682,67.0295
0.022,-0.46660042,6.646663,2.3862424,-0.045872,0.6420657,0.26502466,1.1760992,0.6961254770981069,67.27091
0.018,-0.39900318,6.443273,2.1517458,-0.03942633,0.6548553,0.25026265,1.1760992,0.7021547597848039,68.849655
0.019,-0.36490545,5.8917274,2.5184457,-0.041825667,0.645197,0.239852,1.1760992,0.6896067735812598,69.32553
0.019,0.051445685,4.8011985,2.7505496,-0.024217,0.5824687,0.252235,1.0153521,0.6351997552392377,66.48924
0.021,0.6089734,4.5361934,2.6009982,0.010044668,0.517646,0.26750532,1.0153521,0.5827670091866695,62.65487
0.02,1.0917253,5.643472,1.9567307,0.059556335,0.50920767,0.24841236,1.0153521,0.569691234442102,63.35869
