dt(s),x(m/s^2) raw,y(m/s^2) raw,z(m/s^2) raw,x(g) filtered,y(g) filtered,z(g) filtered,sma(g),svm(g),ta(º)
0.02,-1.9674984,9.544372,1.2000005,-0.19644032,0.97520703,0.12139001,1.2550836,1.0021741803407185,76.678246
0.02,-1.9579271,9.525827,1.2430713,-0.19853467,0.97311264,0.12317934,1.2550836,1.000768394400195,76.49894
0.019,-1.9441684,9.5353985,1.2335001,-0.19951068,0.97231966,0.12496867,1.2550836,1.0004135173395818,76.38949
0.019,-1.9345971,9.563514,1.2287145,-0.19839233,0.9729703,0.12594467,1.2550836,1.000945950692484,76.42192
0.019,-1.9010975,9.553943,1.2233306,-0.19646066,0.973926,0.12527366,1.2550836,1.001410081345112,76.54544
0.02,-1.9154545,9.544372,1.2424731,-0.19548465,0.974231,0.12557867,1.2550836,1.0015539440968269,76.58608
0.022,-1.9537396,9.563514,1.2335001,-0.19613533,0.974231,0.12574133,1.2550836,1.0017015523089885,76.55073
0.021,-1.963311,9.597013,1.2143575,-0.19825,0.97569495,0.12543634,1.2550836,1.0035028545900073,76.480225
0.023,-1.9579271,9.516255,1.2000005,-0.19969368,0.9747393,0.12399266,1.2550836,1.0026806439898734,76.44209
0.021,-1.948954,9.530613,1.2430713,-0.199531,0.9736211,0.124318,1.2550836,1.001601505700126,76.42522
0.011,-1.9585253,9.563514,1.2574283,-0.19936831,0.9724824,0.125782,1.2550836,1.0006452023444192,76.374306
0.019,-1.9722841,9.468399,1.2520444,-0.19985633,0.9708557,0.127551,1.2550836,0.9993861240700327,76.276566
0.019,-1.9627128,9.468997,1.2329018,-0.200324,0.96876127,0.12720533,1.2550836,0.9974012677480677,76.23637
0.018,-1.9914266,9.525827,1.2000005,-0.20144232,0.96748036,0.12525333,1.2550836,0.99613535947606,76.22396
0.021,-2.0817556,9.530613,1.1330016,-0.20516331,0.969595,0.121207,1.2550836,0.9984476028157848,76.192406
0.019,-2.0721843,9.573085,1.0707881,-0.20888431,0.973133,0.11569667,1.2550836,1.0020011302176504,76.2133
0.02,-2.1003,9.516255,0.90329057,-0.21258499,0.97280765,0.10561133,1.2550836,1.0013495123765908,76.28732
0.021,-2.1433709,9.483355,0.8745767,-0.21467935,0.97120124,0.09682733,1.2500167,0.9993470885625791,76.369545
0.018,-2.2378874,9.369097,0.9942178,-0.22031169,0.96426773,0.09422467,1.2500167,0.9935933694991412,76.04499
0.019,-2.2761726,9.416355,1.0947163,-0.22628967,0.960872,0.100731336,1.2500167,0.9922846409281438,75.54482
0.02,-2.1864417,9.672387,1.1288141,-0.22775368,0.9672973,0.109372996,1.2500167,0.9997491132841135,75.36163
0.02,-2.0733807,9.886545,1.061815,-0.22216201,0.9848857,0.111670665,1.2500167,1.01578842429272,75.83095
0.018,-1.9495523,9.92483,1.0187442,-0.21105999,1.002169,0.10908833,1.2500167,1.029946267077892,76.66309
0.02,-1.7676977,9.811171,0.93619186,-0.19682665,1.0068864,0.102541,1.2500167,1.0310555443236744,77.56978
0.02,-1.6301104,9.768699,0.83090764,-0.18175967,1.0028807,0.09469233,1.2500167,1.0236077852072414,78.450195
0.019,-1.5535401,9.793225,0.7304091,-0.168299,0.99840736,0.08489167,1.2500167,1.01604547866193,79.308556
0.021,-1.5535401,9.788439,0.69272214,-0.16101967,0.9976347,0.076616,1.2500167,1.0134457838415565,79.86595
0.023,-1.3830515,9.859626,0.77347994,-0.152622,1.0007254,0.074664,1.2500167,1.015046545898608,80.36405
0.021,-1.0977074,9.812367,0.7680961,-0.137128,1.001376,0.075945,1.2500167,1.0135707616628797,81.10324
0.013,-0.85483587,9.769895,0.73459655,-0.11337867,1.0007457,0.077368334,1.2500167,1.0101150653710946,82.19015
0.023,-0.82612205,9.726824,0.738784,-0.09444833,0.99623173,0.076189004,1.2500167,1.003594998147496,83.05523
0.022,-0.95413804,9.665209,0.7818548,-0.08956834,0.9912297,0.07665667,1.2500167,0.9982159466888622,83.21736
0.02,-1.1587243,9.622138,0.8446664,-0.09989766,0.9862073,0.080398,1.2500167,0.9945090407998091,82.5917
0.013,-1.358525,9.62154,1.0079765,-0.11799433,0.98262864,0.089548,1.2500167,0.9937306261353848,81.4275
0.02,-1.5343975,9.583255,1.1706885,-0.13771766,0.97984296,0.102764666,1.2500167,0.9947959386405696,80.05331
0.019,-1.8532411,9.336196,1.294517,-0.16132466,0.9701237,0.118055336,1.2500167,0.9905062943901041,78.35645
0.02,-2.1762722,9.193225,1.4003994,-0.18912034,0.95556504,0.131394,1.2500167,0.9829218797610472,76.450516
0.019,-2.3192434,9.22134,1.5870396,-0.21579768,0.94326335,0.145546,1.2049352,0.9785182819319181,74.573235
0.02,-2.3623142,9.363115,1.7545372,-0.23310135,0.94417834,0.16118233,1.2049352,0.9857934504971166,73.29259
0.019,-2.4478576,9.343972,1.9740787,-0.24233268,0.9493024,0.180682,1.2049352,0.9962660864155307,72.337524
0.02,-2.5525436,9.352347,2.400001,-0.25026268,0.9537554,0.208315,1.2049352,1.0078074565495252,71.14985
0.019,-2.4586253,9.583853,2.9545379,-0.25353634,0.96125835,0.24910367,1.2049352,1.0248662998243039,69.707695
0.02,-1.9932213,9.674182,3.3846476,-0.238083,0.9724824,0.29704967,1.2049352,1.0443390303279527,68.62175
0.019,-1.5361922,9.678967,3.694518,-0.20353667,0.9835842,0.341051,1.2049352,1.060745444869746,68.0113
0.02,-0.9128618,9.380463,4.0612183,-0.15099533,0.9766709,0.37866768,1.2049352,1.0583359063735573,67.34435
0.019,-0.4235296,9.641879,4.098905,-0.09764067,0.975573,0.40294567,1.2049352,1.0600196207216626,66.97511
0.021,-0.3475575,9.704092,3.8602211,-0.05723833,0.976427,0.408578,1.2049352,1.0600103480739023,67.0946
0.018,-0.43609193,9.0544405,3.6873398,-0.04103267,0.9653454,0.39586964,1.2049352,1.0441686461446715,67.59475
0.02,-0.90089774,8.484351,3.682554,-0.057258666,0.92600036,0.38171768,1.2049352,1.0032265965404417,67.372
0.023,-1.3375878,8.189436,3.76391,-0.09091034,0.8745163,0.378444,1.2049352,0.9572164403627338,66.0082
0.017,-1.5511472,8.02792,3.7447674,-0.12881166,0.83962435,0.380396,1.2049352,0.9307322964153582,64.43704
0.019,-1.6510476,7.928618,3.6921253,-0.15430966,0.8207347,0.38072133,1.2049352,0.9178047816920413,63.41057
0.02,-1.736591,8.018349,3.659224,-0.167872,0.8149193,0.37716302,1.2049352,0.9135241688184761,63.133408
0.019,-2.7786653,8.073982,3.6370904,-0.209596,0.816485,0.373503,1.2049352,0.9219992983812667,62.320442
0.02,-1.0630114,8.517252,3.6203406,-0.18960834,0.836493,0.371063,1.2049352,0.9345371212721669,63.519764
